"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.Article","Input.Fact","Input.Score","Input.Type","Input.wikipediaPage","Answer.comment","Answer.goodTrivia","Answer.knew","Answer.surprising","Approve","Reject"
"3D4BBDG7ZHWUK9GGXGOB5ZPQLCJC30","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","308XBLVESI46GQ76L9YE1XIAK1ZRBX","A2HM35CWB7IIFM","Submitted","Mon Aug 01 09:09:35 PDT 2016","Mon Aug 01 09:09:44 PDT 2016","Tue Aug 02 09:09:44 PDT 2016","","","","9","100% (32/32)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of Hungarian Esperantists","2.049823125","ourTop","https://en.wikipedia.org/wiki/George_Soros","{}","2","-2","2"
"3D4BBDG7ZHWUK9GGXGOB5ZPQLCJC30","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","36AHBNMV1RC8SOHCD0HE4JZ7Q9RDYT","A15L7DBIL7TYTW","Submitted","Mon Aug 01 09:06:38 PDT 2016","Mon Aug 01 09:07:03 PDT 2016","Tue Aug 02 09:07:03 PDT 2016","","","","25","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of Hungarian Esperantists","2.049823125","ourTop","https://en.wikipedia.org/wiki/George_Soros","{}","2","-2","2"
"3D4BBDG7ZHWUK9GGXGOB5ZPQLCJC30","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3I0BTBYZAXLET4GI1OTJPCFOWKG0YL","A32QBXDPHHSTOD","Submitted","Mon Aug 01 08:47:12 PDT 2016","Mon Aug 01 08:47:29 PDT 2016","Tue Aug 02 08:47:29 PDT 2016","","","","17","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of Hungarian Esperantists","2.049823125","ourTop","https://en.wikipedia.org/wiki/George_Soros","{}","-1","-2","-1"
"3D4BBDG7ZHWUK9GGXGOB5ZPQLCJC30","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3NS0A6KXC48B9Y18BCK5OBB69VBGZX","A22VLXXVIEJSD1","Submitted","Mon Aug 01 09:09:51 PDT 2016","Mon Aug 01 09:09:59 PDT 2016","Tue Aug 02 09:09:59 PDT 2016","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of Hungarian Esperantists","2.049823125","ourTop","https://en.wikipedia.org/wiki/George_Soros","{}","1","-2","1"
"3D4BBDG7ZHWUK9GGXGOB5ZPQLCJC30","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3X66WABAJWIAO5UFQ5PWKA6RU0C3GN","A1OKNQ2JEXW34Q","Submitted","Mon Aug 01 09:06:13 PDT 2016","Mon Aug 01 09:06:47 PDT 2016","Tue Aug 02 09:06:47 PDT 2016","","","","34","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of Hungarian Esperantists","2.049823125","ourTop","https://en.wikipedia.org/wiki/George_Soros","{}","-2","-2","-2"
"3S8APUMBJXJ6QG433BTIVO856HNBF0","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","36PW28KO4ZWCOCX9TPEI7FZLNUPEAD","A1OKNQ2JEXW34Q","Submitted","Mon Aug 01 09:08:55 PDT 2016","Mon Aug 01 09:09:16 PDT 2016","Tue Aug 02 09:09:16 PDT 2016","","","","21","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of American businesspeople convicted of crimes","1.291846222","ourMiddle","https://en.wikipedia.org/wiki/George_Soros","{}","1","-2","1"
"3S8APUMBJXJ6QG433BTIVO856HNBF0","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3FTYUGLFSULAQ07S2YCHTM1EV4N5D5","A175AT91CE9J73","Submitted","Mon Aug 01 09:01:53 PDT 2016","Mon Aug 01 09:02:06 PDT 2016","Tue Aug 02 09:02:06 PDT 2016","","","","13","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of American businesspeople convicted of crimes","1.291846222","ourMiddle","https://en.wikipedia.org/wiki/George_Soros","{}","2","-2","1"
"3S8APUMBJXJ6QG433BTIVO856HNBF0","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3I02618YA0600C0X88BK1SAJ84IPUK","A32QBXDPHHSTOD","Submitted","Mon Aug 01 09:02:32 PDT 2016","Mon Aug 01 09:02:38 PDT 2016","Tue Aug 02 09:02:38 PDT 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of American businesspeople convicted of crimes","1.291846222","ourMiddle","https://en.wikipedia.org/wiki/George_Soros","{}","1","-2","1"
"3S8APUMBJXJ6QG433BTIVO856HNBF0","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3K772S5NP8BRYZ5NZVOAO1MP0PFHER","A264NN7JBX4UDQ","Submitted","Mon Aug 01 09:13:50 PDT 2016","Mon Aug 01 09:14:23 PDT 2016","Tue Aug 02 09:14:23 PDT 2016","","","","33","0% (0/0)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of American businesspeople convicted of crimes","1.291846222","ourMiddle","https://en.wikipedia.org/wiki/George_Soros","{}","1","-2","1"
"3S8APUMBJXJ6QG433BTIVO856HNBF0","395K4VYE01OS8Y32V15IJCOSE3W65A","Trivia Game!","Which fact would be good for a trivia game?","trivia, questions","$0.04","Mon Aug 01 08:03:24 PDT 2016","5","BatchId:2482873;","3600","86400","Thu Aug 04 08:03:24 PDT 2016","","","3PJ71Z61R42ZZSTSPV534057S32191","A2HM35CWB7IIFM","Submitted","Mon Aug 01 09:01:36 PDT 2016","Mon Aug 01 09:01:45 PDT 2016","Tue Aug 02 09:01:45 PDT 2016","","","","9","100% (32/32)","0% (0/0)","0% (0/0)","George Soros","George Soros is in the group of American businesspeople convicted of crimes","1.291846222","ourMiddle","https://en.wikipedia.org/wiki/George_Soros","{}","-1","2","-1"
